,0
CD3G 206804_at,0.15893510486699478
NFKBIZ 223218_s_at,0.15866204994537894
IL2RG 204116_at,0.15849189601329097
HLA-B 209140_x_at,0.15831565904137165
TLR4 224341_x_at,0.15820174396263062
HLA-DPA1 211990_at,0.15817683364713397
ERAP1 214034_at,0.158068026922734
KRT14 209351_at,0.15799677092595246
REL 235242_at,0.1578119156490501
VDR 204254_s_at,0.15778409193892454
TAP2 225973_at,0.15755395496677388
KRT1 205900_at,0.15741781387677806
TYK2 205546_s_at,0.15729036039391353
REL 228812_at,0.15724183738238498
B2M 232311_at,0.15716670861892776
TRAF6 227264_at,0.15709236170671886
KLF4 221841_s_at,0.1570416910798621
ITGAX 210184_at,0.1569835246699769
IL17RA 229295_at,0.1568750841842005
CIITA 205101_at,0.15667966773734074
HLA-C 211799_x_at,0.15667676066715217
TLR2 204924_at,0.1565606407110153
STAT3 208991_at,0.15644694660666042
BSG 208677_s_at,0.15622534029816734
B2M 216231_s_at,0.15616787717693537
IL22RA1 220056_at,0.15604387217597204
FOXP3 221333_at,0.1558807230734045
DEFB1 210397_at,0.15587570548586352
KLF4 220266_s_at,0.15573240218917098
MYD88 209124_at,0.15546360425968656
VEGFA 212171_x_at,0.15539154025850654
MIR21 /// VMP1 220990_s_at,0.1552957564894835
NFKB2 207535_s_at,0.15525223478878164
STAT1 200887_s_at,0.1550138731973748
STAT3 225289_at,0.1550087948620185
PLEK 203471_s_at,0.15484518644883608
CCR6 206983_at,0.1547797215647714
NFKB2 209636_at,0.15468837809318933
CD83 204440_at,0.15380863917016988
IL18 206295_at,0.1535921621547797
IL17RB 224361_s_at,0.15357973253898657
CCHCR1 209698_at,0.15355784098604797
ERAP1 210385_s_at,0.1534567541980457
TAP1 202307_s_at,0.15335044220199823
MTHFR 226929_at,0.15305553874093328
CD4 216424_at,0.15303494321593972
NLRC5 226474_at,0.1528807670887148
HLA-B 211911_x_at,0.15278941133062676
IL17RB 224156_x_at,0.1523081792458134
PRSS8 202525_at,0.1518877992100385
CARD14 220599_s_at,0.15185644830212355
HLA-DPA1 211991_s_at,0.15182416341026625
JUP /// KRT17 212236_x_at,0.1518094707871057
VNN3 1553513_at,0.1516480182980552
NFKBIA 231699_at,0.1515769242371324
KLRD1 210606_x_at,0.15145212954005266
VEGFA 211527_x_at,0.1513761924863654
HLA-DPB1 201137_s_at,0.15130603407149998
FLG 215704_at,0.15095292006493616
CAMP 210244_at,0.1509104835536265
HLA-B 208729_x_at,0.15086017680902716
FCGR2A 203561_at,0.15078641819688368
STAT3 243213_at,0.150672386339319
IL33 209821_at,0.1506706601711101
IL12RB1 1552584_at,0.1505564059810706
IRF1 202531_at,0.15055020426989732
CCL5 204655_at,0.1505395303118991
KRT6B 213680_at,0.15043746969377597
LYZ 213975_s_at,0.15035161663681626
REL 239486_at,0.15033543596543839
ICOS 210439_at,0.14995131848348567
HLA-DPA1 213537_at,0.14980767989421867
CCL2 216598_s_at,0.14968423462804123
CLDN1 222549_at,0.14961303003807627
CD3E 205456_at,0.1495965065447223
CAPN12 228705_at,0.1495186035643387
CD3D 213539_at,0.14932282546308331
PTPN22 236539_at,0.14925080784183645
IL17RB 219255_x_at,0.1492032804606114
CLDN1 218182_s_at,0.1486807609719862
CCL5 1555759_a_at,0.14858565465068804
DSG1 206642_at,0.14856752454902475
IRF1 238725_at,0.14818974165245438
PTGS2 204748_at,0.14796128703306405
PTPN22 206060_s_at,0.14735960467328157
IL6 205207_at,0.1472278956502438
FABP5 202345_s_at,0.14710092167168842
SOCS3 227697_at,0.146832109841473
REL 206036_s_at,0.14672775526196358
S100A7 205916_at,0.14646116649312282
NFKBIZ 223217_s_at,0.14645225783791105
PSORS1C3 238997_at,0.14631804739877202
SLPI 203021_at,0.14628675604323532
AQP3 203747_at,0.14571203865524887
CARD14 232608_x_at,0.1456177872125208
JUP /// KRT17 205157_s_at,0.14476218429145088
TNIP1 243423_at,0.14414619157276481
MIR21 /// VMP1 224917_at,0.1439987679119323
IFI27 202411_at,0.1436913753532328
ERAP1 214012_at,0.14344228315538363
IFIH1 219209_at,0.14313135665943497
LOR 207720_at,0.142921239017397
AQP3 39249_at,0.1428308933172754
CCL5 1405_i_at,0.1426619441970113
PTGS2 1554997_a_at,0.1422080654813036
KRT6A 209125_at,0.14216980403796536
TAP2 208428_at,0.14193805828721082
RNASE7 233488_at,0.14179801953689047
IRAK2 231779_at,0.1416635612788562
CCL19 210072_at,0.14137528111882192
CDSN 206192_at,0.140787214234146
CD8A 205758_at,0.13965026877816836
C1QTNF2 223749_at,0.13835250923690381
STAT1 209969_s_at,0.1382242168327767
VNN3 1553514_a_at,0.1381798735502201
S100A8 202917_s_at,0.13763317366454092
S100A8 214370_at,0.13732332031024277
CD207 220428_at,0.13705821277137106
MIR146A 238225_at,0.13674985985654767
STAT3 208992_s_at,0.13672348582732194
