Variable 1,Variable 2,Correlación
C10orf99 227736_at,IL36RN 222223_s_at,0.9725919200203355
C10orf99 227736_at,DEFB103A /// DEFB103B 224239_at,0.9656709491207378
C10orf99 227736_at,DEFB4A /// DEFB4B 207356_at,0.9639581476857394
C10orf99 227736_at,IL36G 220322_at,0.9627103973181215
C10orf99 227736_at,PI3 41469_at,0.9505432206118867
CAMP 210244_at,MPO 203948_s_at,0.9931967616079291
CAMP 210244_at,MPO 203949_at,0.9894438993510849
CCHCR1 209698_at,CCHCR1 37424_at,0.9781160879808648
CCHCR1 209698_at,CCHCR1 42361_g_at,0.9753034582502847
CCHCR1 209698_at,CCHCR1 37425_g_at,0.954842864135142
CCHCR1 37424_at,CCHCR1 42361_g_at,0.990668507686678
CCHCR1 37424_at,CCHCR1 37425_g_at,0.9746430245953386
CCHCR1 37424_at,TYK2 205546_s_at,0.9679866002352853
CCHCR1 37424_at,NLRC5 226474_at,0.9594641672886898
CCHCR1 37425_g_at,CCHCR1 42361_g_at,0.9800356886216584
CCHCR1 37425_g_at,TYK2 205546_s_at,0.9711246489557424
CCHCR1 37425_g_at,IKBKB 209341_s_at,0.9693298460508972
CCHCR1 37425_g_at,NLRC5 226474_at,0.9638594217481441
CCHCR1 37425_g_at,MTHFR 239035_at,0.9597654867300188
CCHCR1 37425_g_at,IL17RA 229101_at,0.9571772511219897
CCHCR1 37425_g_at,NFKB2 209636_at,0.9541270168847655
CCHCR1 37425_g_at,ERAP1 209701_at,0.9528179956223923
CCHCR1 42361_g_at,TYK2 205546_s_at,0.9752774708935484
CCHCR1 42361_g_at,NLRC5 226474_at,0.9701220304247022
CCHCR1 42361_g_at,IKBKB 209341_s_at,0.9574369250361162
CCHCR1 42361_g_at,IKBKB 209342_s_at,0.9525086768829212
CCL5 1405_i_at,CCL5 204655_at,0.9611357031221148
CD83 204440_at,STAT1 200887_s_at,0.9544842973043843
CD83 204440_at,MYD88 209124_at,0.9508671750007092
CDSN 206192_at,CDSN 206193_s_at,0.952970003759197
CHUK 209666_s_at,NFKBIZ 223218_s_at,0.9803939451092901
CHUK 209666_s_at,IFNLR1 244261_at,0.9763480175472342
CHUK 209666_s_at,MAP3K7 206854_s_at,0.9755104360399236
CHUK 209666_s_at,HIF1A 200989_at,0.9739631776371177
CHUK 209666_s_at,RELA 201783_s_at,0.9734128539750617
CHUK 209666_s_at,IFNGR2 201642_at,0.9727970637138337
CHUK 209666_s_at,TNFRSF11A 238846_at,0.9714057211076488
CHUK 209666_s_at,MAP3K7 206853_s_at,0.9710408411967021
CHUK 209666_s_at,VEGFA 210512_s_at,0.9700590136083524
CHUK 209666_s_at,REL 228812_at,0.9664241660610233
CHUK 209666_s_at,ERAP1 209788_s_at,0.9627941462149434
CHUK 209666_s_at,IL33 209821_at,0.9589187948954104
CHUK 209666_s_at,MIR21 /// VMP1 220990_s_at,0.9533483276356454
CHUK 209666_s_at,JAK2 205841_at,0.9518435599000793
CHUK 209666_s_at,MAP3K7 211537_x_at,0.9510571019010777
CHUK 209666_s_at,REL 235242_at,0.9505120967459239
CHUK 209666_s_at,IL17RA 229101_at,0.95043345935843
CHUK 209666_s_at,MTHFR 239035_at,0.9501469212072661
CHUK 209666_s_at,IL17RE 236186_x_at,-0.9547012322897819
CRAT 205843_x_at,CRAT 209522_s_at,0.9506210285575111
CXCL11 210163_at,CXCL11 211122_s_at,0.9506385696802057
CXCL8 202859_x_at,IL1B 39402_at,0.9526261254142157
CXCL8 211506_s_at,IL1B 39402_at,0.9515951808559935
CXXC5 222996_s_at,TRAF3IP2 202987_at,0.9570052741534809
CXXC5 224516_s_at,CXXC5 233955_x_at,0.9868152774152605
CXXC5 224516_s_at,IL17RA 229101_at,0.9711625945828333
CXXC5 224516_s_at,ERAP1 209788_s_at,0.957565321564814
CXXC5 233955_x_at,IL17RA 229101_at,0.9708140063935968
CXXC5 233955_x_at,ERAP1 209788_s_at,0.9595394350518415
CXXC5 233955_x_at,MTHFR 239035_at,0.9515021896822459
DEFB1 210397_at,JAK2 205841_at,0.9574078202989443
DEFB1 210397_at,MTHFR 239035_at,0.9545577936074369
DEFB1 210397_at,HIF1A 200989_at,0.9529027019829945
DEFB1 210397_at,VDR 204255_s_at,0.9520299978985025
DEFB103A /// DEFB103B 224239_at,IL36RN 222223_s_at,0.9672058820102575
DEFB103A /// DEFB103B 224239_at,IL36G 220322_at,0.9640392379914232
DEFB4A /// DEFB4B 207356_at,PI3 41469_at,0.992190707270718
DEFB4A /// DEFB4B 207356_at,PI3 203691_at,0.9884883073251425
DEFB4A /// DEFB4B 207356_at,SERPINB3 209719_x_at,0.9729949767445631
DEFB4A /// DEFB4B 207356_at,SPRR2B 208539_x_at,0.9692922228701537
DEFB4A /// DEFB4B 207356_at,IL36G 220322_at,0.9683711671591232
DEFB4A /// DEFB4B 207356_at,IL36RN 222223_s_at,0.9674173212396777
DEFB4A /// DEFB4B 207356_at,SERPINB3 209720_s_at,0.9574778138742348
DSG1 206642_at,IL18 206295_at,0.9676778302251082
DSG1 206642_at,KLF4 221841_s_at,0.96170118580333
DSG1 206642_at,STAT3 208991_at,0.9558114518174315
DSG1 206642_at,MAP3K7 206854_s_at,0.9507739245629521
DSG1 206642_at,REL 206036_s_at,0.9505377442143511
ERAP1 209701_at,IL17RA 229101_at,0.9664044227980164
ERAP1 209701_at,ERAP1 209788_s_at,0.9590939251056233
ERAP1 209701_at,IL10RB 209575_at,0.9577248998898391
ERAP1 209701_at,MTHFR 239035_at,0.9554633313275959
ERAP1 209701_at,TRAF3IP2 202987_at,0.9502119574436085
ERAP1 209701_at,IL17RA 228685_at,0.9500796136932809
ERAP1 209788_s_at,IL17RA 229101_at,0.9875017629197794
ERAP1 209788_s_at,HIF1A 200989_at,0.9823601282383922
ERAP1 209788_s_at,MAP3K7 206853_s_at,0.9801789705466286
ERAP1 209788_s_at,MTHFR 239035_at,0.9762179598439122
ERAP1 209788_s_at,IKBKB 209341_s_at,0.9759595572899505
ERAP1 209788_s_at,IFNGR2 201642_at,0.9759446084321437
ERAP1 209788_s_at,TNFRSF11A 238846_at,0.9663897564700592
ERAP1 209788_s_at,VEGFA 210512_s_at,0.9659968113410776
ERAP1 209788_s_at,JAK2 205841_at,0.965501611035594
ERAP1 209788_s_at,RELA 201783_s_at,0.9646280897995758
ERAP1 209788_s_at,TNIP1 207196_s_at,0.964409593728324
ERAP1 209788_s_at,VDR 204255_s_at,0.9626397773646587
ERAP1 209788_s_at,IFNLR1 244261_at,0.9621258427337831
ERAP1 209788_s_at,NFKBIZ 223218_s_at,0.9582355887305133
ERAP1 209788_s_at,IL17RA 228685_at,0.9567790645205198
ERAP1 209788_s_at,IL17RC 224514_x_at,0.9534918897000996
ERAP1 209788_s_at,VDR 204254_s_at,0.9534350216819848
ERAP1 209788_s_at,IL17RD 227997_at,0.9522465769110187
FADS1 /// MIR1908 208962_s_at,FADS1 /// MIR1908 208963_x_at,0.982008762625771
FADS1 /// MIR1908 208962_s_at,THRSP 229477_at,0.9540375422787939
FADS1 /// MIR1908 208964_s_at,THRSP 229476_s_at,0.9538738484920691
HIF1A 200989_at,IFNGR2 201642_at,0.9887611792375969
HIF1A 200989_at,VEGFA 210512_s_at,0.9809925399729346
HIF1A 200989_at,MAP3K7 206853_s_at,0.9765996889289242
HIF1A 200989_at,MTHFR 239035_at,0.9764359530351284
HIF1A 200989_at,IL17RA 229101_at,0.9760751004551225
HIF1A 200989_at,NFKBIZ 223218_s_at,0.9755500868900111
HIF1A 200989_at,TNIP1 207196_s_at,0.9755448043468691
HIF1A 200989_at,RELA 201783_s_at,0.9729023757300799
HIF1A 200989_at,TNFRSF11A 238846_at,0.9691689873037023
HIF1A 200989_at,MAP3K7 206854_s_at,0.968077454610933
HIF1A 200989_at,IKBKB 209341_s_at,0.9668086354286551
HIF1A 200989_at,JAK2 205841_at,0.9660041862180273
HIF1A 200989_at,VDR 204255_s_at,0.9659908045591318
HIF1A 200989_at,IFNLR1 244261_at,0.9659824674626488
HIF1A 200989_at,REL 235242_at,0.9624328902879351
HIF1A 200989_at,STAT3 208991_at,0.9622498977210727
HIF1A 200989_at,IL17RA 228685_at,0.9619415307346482
HIF1A 200989_at,MIR21 /// VMP1 220990_s_at,0.9617752491056285
HIF1A 200989_at,REL 228812_at,0.960203308471761
HIF1A 200989_at,STAT1 200887_s_at,0.9560865503752519
HIF1A 200989_at,VDR 213692_s_at,0.9547787509805855
HIF1A 200989_at,TRAF3IP2 215411_s_at,0.9545044962860378
HIF1A 200989_at,HLA-DPA1 211990_at,0.9540393821872906
HIF1A 200989_at,STAT3 225289_at,0.9526242673803795
HIF1A 200989_at,VDR 204254_s_at,0.9521861727043046
HIF1A 200989_at,MYD88 209124_at,0.950412614654621
HLA-A 213932_x_at,HLA-A 215313_x_at,0.9965813916783581
HLA-A 213932_x_at,HLA-C 216526_x_at,0.987187979578973
HLA-A 213932_x_at,HLA-B 209140_x_at,0.983871044812016
HLA-A 213932_x_at,HLA-C 208812_x_at,0.9729628699180637
HLA-A 213932_x_at,HLA-C 214459_x_at,0.9671678827693844
HLA-A 213932_x_at,NFKBIA 201502_s_at,0.9558025575452306
HLA-A 215313_x_at,HLA-C 216526_x_at,0.9880793521040226
HLA-A 215313_x_at,HLA-B 209140_x_at,0.9871180897585783
HLA-A 215313_x_at,HLA-C 208812_x_at,0.9729603664990675
HLA-A 215313_x_at,HLA-C 214459_x_at,0.9716669834656994
HLA-A 215313_x_at,NFKBIA 201502_s_at,0.9540790560580485
HLA-A 215313_x_at,HLA-B 211911_x_at,0.9538759761015642
HLA-B 208729_x_at,HLA-B 211911_x_at,0.9905289751616203
HLA-B 208729_x_at,HLA-B 209140_x_at,0.9667550178028985
HLA-B 208729_x_at,HLA-C 214459_x_at,0.960888318800147
HLA-B 208729_x_at,HLA-C 211799_x_at,0.9537820635075539
HLA-B 208729_x_at,HLA-C 208812_x_at,0.9502073781642221
HLA-B 209140_x_at,HLA-C 214459_x_at,0.9865344682248379
HLA-B 209140_x_at,HLA-C 216526_x_at,0.9852595985346878
HLA-B 209140_x_at,HLA-C 208812_x_at,0.9848474821899134
HLA-B 209140_x_at,HLA-B 211911_x_at,0.9764077719213484
HLA-B 209140_x_at,HLA-DRB1 /// HLA-DRB1 208306_x_at,0.9612113113147508
HLA-B 209140_x_at,NFKBIA 201502_s_at,0.9558724585848193
HLA-B 211911_x_at,HLA-C 214459_x_at,0.970106993154267
HLA-B 211911_x_at,HLA-C 208812_x_at,0.9576616013047252
HLA-B 211911_x_at,HLA-DRB1 /// HLA-DRB1 208306_x_at,0.9572289910489393
HLA-B 211911_x_at,HLA-C 216526_x_at,0.9534109995440796
HLA-C 208812_x_at,HLA-C 214459_x_at,0.9940302568615189
HLA-C 208812_x_at,HLA-C 216526_x_at,0.9783310517100753
HLA-C 208812_x_at,HLA-DRB1 /// HLA-DRB1 208306_x_at,0.9638840480267926
HLA-C 211799_x_at,NFKB1 209239_at,0.9570247707258109
HLA-C 211799_x_at,IL10RB 209575_at,0.9567684868811831
HLA-C 211799_x_at,HLA-C 214459_x_at,0.9527299920298802
HLA-C 214459_x_at,HLA-C 216526_x_at,0.9788024749789358
HLA-C 214459_x_at,HLA-DRB1 /// HLA-DRB1 208306_x_at,0.9680699419760554
HLA-C 216526_x_at,HLA-DRB1 /// HLA-DRB1 208306_x_at,0.9568198736082425
HLA-DPA1 211990_at,IL17RA 229101_at,0.9590364529392854
HLA-DPA1 211990_at,IFNGR2 201642_at,0.9548728486871217
HLA-DPA1 211990_at,MTHFR 239035_at,0.9513444424535817
HLA-DPA1 211990_at,IKBKB 209341_s_at,0.9510673828029019
IFI27 202411_at,STAT1 200887_s_at,0.9560177084720872
IFI27 202411_at,STAT1 209969_s_at,0.9551656783747848
IFI44 214059_at,IFI44 214453_s_at,0.9687568638184296
IFI44 214059_at,OAS1 202869_at,0.9527426504492986
IFI44 214059_at,MX1 202086_at,0.9524195733676063
IFI44 214059_at,IFIH1 219209_at,0.9508730788668142
IFI44 214453_s_at,MX1 202086_at,0.9748215853134712
IFI44 214453_s_at,IFIH1 219209_at,0.965792336779916
IFI44 214453_s_at,OAS1 202869_at,0.9601466907810446
IFI44L 204439_at,ISG15 205483_s_at,0.9627153103280841
IFIH1 219209_at,OAS1 202869_at,0.9677445713857187
IFIH1 219209_at,MX1 202086_at,0.9639567135500128
IFIH1 219209_at,STAT1 200887_s_at,0.9579499669285695
IFNGR2 201642_at,RELA 201783_s_at,0.982806049289309
IFNGR2 201642_at,MAP3K7 206853_s_at,0.9777766046664816
IFNGR2 201642_at,VEGFA 210512_s_at,0.9770814467651456
IFNGR2 201642_at,MAP3K7 206854_s_at,0.9696808477195642
IFNGR2 201642_at,NFKBIZ 223218_s_at,0.9682398599045026
IFNGR2 201642_at,TNIP1 207196_s_at,0.9673599124854456
IFNGR2 201642_at,IL17RA 229101_at,0.9673021717909112
IFNGR2 201642_at,STAT3 208991_at,0.96691756298192
IFNGR2 201642_at,IFNLR1 244261_at,0.9658744262320074
IFNGR2 201642_at,MTHFR 239035_at,0.9645437449883462
IFNGR2 201642_at,TNFRSF11A 238846_at,0.96185820693115
IFNGR2 201642_at,JAK2 205841_at,0.9581980378989622
IFNGR2 201642_at,KLF4 221841_s_at,0.9576895821221331
IFNGR2 201642_at,TRAF3IP2 215411_s_at,0.9560784801224069
IFNGR2 201642_at,IKBKB 209341_s_at,0.9552889196997777
IFNGR2 201642_at,VDR 204255_s_at,0.9552240704721549
IFNGR2 201642_at,STAT1 200887_s_at,0.9552098222165352
IFNGR2 201642_at,MIR21 /// VMP1 220990_s_at,0.9544731871560621
IFNGR2 201642_at,VDR 213692_s_at,0.9534954331952569
IFNGR2 201642_at,MAP3K7 211537_x_at,0.9527752031063363
IFNGR2 201642_at,TNFAIP3 202644_s_at,0.9520516641021995
IFNGR2 201642_at,IL17RA 228685_at,0.9508813155403036
IFNLR1 244261_at,NFKBIZ 223218_s_at,0.9700052275693041
IFNLR1 244261_at,REL 228812_at,0.9661201828695983
IFNLR1 244261_at,RELA 201783_s_at,0.9656628878699528
IFNLR1 244261_at,MAP3K7 206854_s_at,0.9644945719409171
IFNLR1 244261_at,JAK2 205841_at,0.9621485896702191
IFNLR1 244261_at,TNFRSF11A 238846_at,0.9606540173115237
IFNLR1 244261_at,VEGFA 210512_s_at,0.9600277851411413
IFNLR1 244261_at,MAP3K7 206853_s_at,0.9566806864112362
IFNLR1 244261_at,REL 235242_at,0.9550428968440473
IFNLR1 244261_at,STAT1 200887_s_at,0.953412791667404
IFNLR1 244261_at,STAT3 208991_at,0.9520691150002515
IFNLR1 244261_at,VDR 204255_s_at,0.9504150417183415
IKBKB 209341_s_at,IL17RA 229101_at,0.9814630047858994
IKBKB 209341_s_at,TYK2 205546_s_at,0.9809764065157665
IKBKB 209341_s_at,MTHFR 239035_at,0.9765012412798045
IKBKB 209341_s_at,MAP3K7 206853_s_at,0.9738355634794744
IKBKB 209341_s_at,JAK2 205841_at,0.9627679913948478
IKBKB 209341_s_at,VDR 204254_s_at,0.9621944174708255
IKBKB 209341_s_at,NLRC5 226474_at,0.9612207363173817
IKBKB 209341_s_at,IKBKB 209342_s_at,0.961182615220819
IKBKB 209341_s_at,VDR 204255_s_at,0.9607765776036844
IKBKB 209341_s_at,TNIP1 207196_s_at,0.9560560572442145
IKBKB 209341_s_at,VEGFA 210512_s_at,0.9545134436328323
IKBKB 209341_s_at,TAP1 202307_s_at,0.9542173554002418
IKBKB 209341_s_at,IL17RC 224514_x_at,0.9509124689900157
IKBKB 209342_s_at,TYK2 205546_s_at,0.9666062089593195
IKBKB 209342_s_at,TAP1 202307_s_at,0.9567367392913984
IL10RB 209575_at,IL18 206295_at,0.9541764270557559
IL10RB 209575_at,NFKBIA 231699_at,0.9522932939319304
IL10RB 209575_at,NFKB1 209239_at,0.950619993078171
IL17RA 228685_at,IL17RA 229101_at,0.9696185358733524
IL17RA 228685_at,MTHFR 239035_at,0.9687582231818792
IL17RA 228685_at,TRAF3IP2 215411_s_at,0.9618504784953188
IL17RA 228685_at,TNIP1 207196_s_at,0.9588032942010778
IL17RA 229101_at,MTHFR 239035_at,0.9858184867973446
IL17RA 229101_at,MAP3K7 206853_s_at,0.9696574239087651
IL17RA 229101_at,VDR 204254_s_at,0.9673499056791725
IL17RA 229101_at,VDR 204255_s_at,0.9647164546764673
IL17RA 229101_at,TYK2 205546_s_at,0.9612327418010213
IL17RA 229101_at,TNIP1 207196_s_at,0.9609440010973919
IL17RA 229101_at,TNFRSF11A 238846_at,0.9599258409878582
IL17RA 229101_at,JAK2 205841_at,0.9596141677537078
IL17RA 229101_at,VEGFA 210512_s_at,0.9579145502751
IL17RA 229101_at,IL17RD 227997_at,0.9543555358950131
IL17RA 229101_at,NFKBIZ 223218_s_at,0.9529324703707239
IL17RA 229101_at,RELA 201783_s_at,0.9509460922641317
IL17RA 229101_at,IL17RC 224514_x_at,0.9504269189792754
IL17RB 224156_x_at,IL17RB 224361_s_at,0.9719657635301957
IL17RC 224514_x_at,TYK2 205546_s_at,0.9610786205059363
IL17RC 224514_x_at,IL17RE 229401_at,0.9560300536189028
IL17RC 224514_x_at,NLRC5 226474_at,0.9523118704488619
IL17RD 227997_at,MAP3K7 206853_s_at,0.9546262040286003
IL17RD 229263_at,TRAF3IP2 202987_at,0.9533473885693453
IL17RE 236186_x_at,NFKBIZ 223218_s_at,-0.9513816521222832
IL17RE 236186_x_at,MAP3K7 206854_s_at,-0.9519943031147996
IL18 206295_at,MAP3K7 206854_s_at,0.9658824512958823
IL18 206295_at,KLF4 221841_s_at,0.9649939830463858
IL18 206295_at,NFKBIA 231699_at,0.9606526647789229
IL18 206295_at,KLF4 220266_s_at,0.9584085510599026
IL1B 205067_at,IL1B 39402_at,0.9591866912483457
IL33 209821_at,REL 228812_at,0.9577866498603737
IL33 209821_at,NFKBIZ 223218_s_at,0.9551002743560513
IL33 209821_at,MAP3K7 206854_s_at,0.9519944157399255
IL36G 220322_at,IL36RN 222223_s_at,0.9818730334069271
IL36G 220322_at,SERPINB3 209720_s_at,0.9729858131698625
IL36G 220322_at,SERPINB3 209719_x_at,0.969583073779926
IL36G 220322_at,SPRR2B 208539_x_at,0.9640017659187694
IL36G 220322_at,PI3 41469_at,0.963126741686689
IL36G 220322_at,LCN2 212531_at,0.9555458705888975
IL36G 220322_at,PI3 203691_at,0.9546598520927615
IL36G 220322_at,LCE3D 224328_s_at,0.9503134477656322
IL36RN 222223_s_at,LCE3D 224328_s_at,0.9779874386087197
IL36RN 222223_s_at,SPRR2B 208539_x_at,0.9745619147917604
IL36RN 222223_s_at,PI3 41469_at,0.9613942219590872
IL36RN 222223_s_at,SERPINB3 209719_x_at,0.9585054771298372
IL36RN 222223_s_at,PI3 203691_at,0.9554372178479421
IL36RN 222223_s_at,SERPINB3 209720_s_at,0.9509285492323756
IRAK2 231779_at,MIR21 /// VMP1 224917_at,0.9599532844890754
IRAK2 231779_at,MIR21 /// VMP1 220990_s_at,0.9507096396616874
IVL 214599_at,KRT16 209800_at,0.9506573586331017
JAK2 205841_at,MTHFR 239035_at,0.9657397938402905
JAK2 205841_at,MAP3K7 206853_s_at,0.9601644037965122
JAK2 205841_at,VEGFA 210512_s_at,0.9559760564695308
JAK2 205841_at,TNIP1 207196_s_at,0.9556790357410077
JAK2 205841_at,TAP2 225973_at,0.955543194946071
JAK2 205841_at,TAP1 202307_s_at,0.9527474760722825
JAK2 205841_at,STAT1 200887_s_at,0.9520969664181667
JAK2 205841_at,MYD88 209124_at,0.9514670095388408
JAK2 205841_at,VDR 204255_s_at,0.9512295032221462
JAK2 205841_at,REL 228812_at,0.9510967135764792
JUP /// KRT17 205157_s_at,JUP /// KRT17 212236_x_at,0.9842413996675258
KLF4 220266_s_at,KLF4 221841_s_at,0.9708403140413151
KLF4 221841_s_at,RELA 201783_s_at,0.9664892640396752
KLF4 221841_s_at,STAT3 208991_at,0.9643147122017758
KLF4 221841_s_at,MAP3K7 206854_s_at,0.9610296994337729
KLF4 221841_s_at,MAP3K7 211537_x_at,0.9525289854960063
KRT1 205900_at,KRT10 210633_x_at,0.9885797724423697
KRT1 205900_at,KRT10 207023_x_at,0.9860420478971282
KRT1 205900_at,KRT14 209351_at,0.9776369516065265
KRT1 205900_at,KRT10 213287_s_at,0.9761048245024229
KRT10 207023_x_at,KRT10 210633_x_at,0.9896833819080206
KRT10 207023_x_at,KRT14 209351_at,0.9794109391079365
KRT10 207023_x_at,KRT10 213287_s_at,0.9714593520438353
KRT10 210633_x_at,KRT10 213287_s_at,0.9841298956992426
KRT10 210633_x_at,KRT14 209351_at,0.9712989017752992
KRT10 213287_s_at,KRT14 209351_at,0.9714865481170255
KRT16 209800_at,KRT6B 209126_x_at,0.9693682938523903
KRT16 209800_at,KRT6A 209125_at,0.9624705488027143
KRT16 209800_at,S100A9 203535_at,0.957275547275342
KRT6A 209125_at,KRT6B 209126_x_at,0.9577187308882998
KRT6A 209125_at,S100A7 205916_at,0.9526176961785243
KRT6A 209125_at,KRT6B 213680_at,0.9506432542990809
KRT6B 209126_x_at,KRT6B 213680_at,0.9502604374934851
KRT6B 213680_at,S100A7 205916_at,0.9529292854610057
LCE3D 224328_s_at,SPRR2B 208539_x_at,0.9675368978441374
LCE3D 224328_s_at,SPRR2G 236119_s_at,0.9580279621091362
LCE3D 224328_s_at,PI3 41469_at,0.9518176003495159
LYZ 213975_s_at,STAT1 200887_s_at,0.9603535663821876
LYZ 213975_s_at,STAT3 208991_at,0.9519627686229002
MAP3K7 206853_s_at,TNFRSF11A 238846_at,0.9695715614596094
MAP3K7 206853_s_at,RELA 201783_s_at,0.9673429746232441
MAP3K7 206853_s_at,VEGFA 210512_s_at,0.964060010629456
MAP3K7 206853_s_at,MTHFR 239035_at,0.9583721489950182
MAP3K7 206853_s_at,NFKBIZ 223218_s_at,0.9517018261812245
MAP3K7 206853_s_at,VDR 204255_s_at,0.9516235246305953
MAP3K7 206854_s_at,NFKBIZ 223218_s_at,0.9844455327918855
MAP3K7 206854_s_at,MAP3K7 211537_x_at,0.9795585277001374
MAP3K7 206854_s_at,STAT3 208991_at,0.9740752741763377
MAP3K7 206854_s_at,REL 228812_at,0.9706003473162185
MAP3K7 206854_s_at,STAT3 225289_at,0.9701213559252767
MAP3K7 206854_s_at,RELA 201783_s_at,0.9682247131135717
MAP3K7 206854_s_at,MAP3K7 211536_x_at,0.9662317667677375
MAP3K7 206854_s_at,MIR21 /// VMP1 220990_s_at,0.9653382325766566
MAP3K7 206854_s_at,STAT1 200887_s_at,0.9645313714822359
MAP3K7 206854_s_at,REL 235242_at,0.9637558423246002
MAP3K7 206854_s_at,TRAF3IP2 215411_s_at,0.9617332917305644
MAP3K7 206854_s_at,TNFRSF11A 238846_at,0.955754132071388
MAP3K7 206854_s_at,REL 239486_at,0.9539195069654591
MAP3K7 206854_s_at,VEGFA 210512_s_at,0.952759005014097
MAP3K7 211536_x_at,MAP3K7 211537_x_at,0.9912402532311682
MAP3K7 211536_x_at,RELA 201783_s_at,0.9514238291043596
MAP3K7 211537_x_at,RELA 201783_s_at,0.9597093112548192
MAP3K7 211537_x_at,NFKBIZ 223218_s_at,0.9586340325597396
MAP3K7 211537_x_at,STAT3 208991_at,0.9559556019421316
MIR21 /// VMP1 220990_s_at,REL 228812_at,0.9770373260406614
MIR21 /// VMP1 220990_s_at,NFKBIZ 223218_s_at,0.9738276310665175
MIR21 /// VMP1 220990_s_at,STAT1 200887_s_at,0.9736778630816576
MIR21 /// VMP1 220990_s_at,STAT3 225289_at,0.9723382124228187
MIR21 /// VMP1 220990_s_at,MIR21 /// VMP1 224917_at,0.9691214978579504
MIR21 /// VMP1 220990_s_at,MYD88 209124_at,0.9644426473522287
MIR21 /// VMP1 220990_s_at,TRAF3IP2 215411_s_at,0.9622455587346022
MIR21 /// VMP1 220990_s_at,STAT3 208991_at,0.9594766183941336
MIR21 /// VMP1 220990_s_at,REL 235242_at,0.9546501927939034
MIR21 /// VMP1 220990_s_at,VEGFA 210512_s_at,0.9512208678186547
MPO 203948_s_at,MPO 203949_at,0.9946878499571249
MTHFR 239035_at,TNIP1 207196_s_at,0.9680408275580089
MTHFR 239035_at,VDR 204254_s_at,0.9675475366193621
MTHFR 239035_at,TAP2 225973_at,0.966946967796356
MTHFR 239035_at,VDR 204255_s_at,0.9635722279471673
MTHFR 239035_at,TAP1 202307_s_at,0.9625200982242561
MTHFR 239035_at,TRAF3IP2 215411_s_at,0.9592379283166644
MTHFR 239035_at,TYK2 205546_s_at,0.9587263411628697
MTHFR 239035_at,REL 235242_at,0.9584343537397113
MTHFR 239035_at,NFKBIZ 223218_s_at,0.9581138971628552
MTHFR 239035_at,VEGFA 210512_s_at,0.9551824918637561
